star,sample,lT,lL,tier,alpha0,nuchar,gamma,vsini,a0_ok,sys_nu,sys_a0,ev_tau,ev_logM,ev_logR,ev_phase,ev_Mini,ev_dist,ev_M,ev_R,f_rot,log_alpha0,log_nuchar,rotmod_candidate
HD 57061,Bowman2020_Galactic,4.51,4.01,A,1261.169,1.4168,1.84189,57.0,True,0.0,0.0,0.8815057611323537,1.5339906100574732,1.2775144334184354,0.0,38.17738410326435,0.10172243614787725,34.19720486076611,18.94586478327234,0.05946648834637751,3.1007732870882347,0.15130854818201836,False
HD 152249,Bowman2020_Galactic,4.49,4.15,A,2144.886,1.76168,2.94309,71.0,True,0.0,0.0,0.9264954634784565,1.618181862377455,1.4274296608941681,0.0,49.636289420886875,0.24494089619777581,41.51278425203863,26.756522047196075,0.05244940412836311,3.3314042145223177,0.24592702390836851,False
HD 152424,Bowman2020_Galactic,4.48,4.14,A,5315.488,0.95329,3.42169,59.0,True,0.0,0.0,0.9743335461618676,1.5665550891172442,1.4123671565015559,0.0,42.85477699680924,0.09952959624275036,36.85997948054678,25.844441799175915,0.04512287115700164,3.725543142044313,-0.020774962697552694,False
HD 154368,Bowman2020_Galactic,4.48,4.28,A,1971.732,1.85794,4.70571,65.0,True,0.0,0.0,0.9715093003431491,1.4842150602850142,1.4478127359846291,0.6742424154910603,57.09258866090818,0.1823721352382,30.49404664548214,28.042242200534396,0.04581550642378233,3.294847884828933,0.2690316848515623,False
HD 152003,Bowman2020_Galactic,4.48,4.12,A,4459.742,0.92626,1.76747,65.0,True,0.0,0.0,0.9854661529208255,1.5483678228349274,1.399149738596503,0.0,40.60112245573019,0.10453165253714143,35.348242264555,25.069734730434185,0.051247830959940614,3.6493097351208177,-0.0332670902985798,False
HD 152147,Bowman2020_Galactic,4.48,4.04,A,3879.566,1.1396,2.43834,91.0,True,0.0,0.0,0.9707602298223087,1.506968824003399,1.3352103739025545,0.0,35.83836958601811,0.049735519266082204,32.13429853061212,21.637664066028865,0.08312714964320499,3.58878314457683,0.056752440567439236,False
HD 36960,Bowman2020_Galactic,4.46,3.31,A,30.868,1.83618,2.46009,23.0,True,0.0,0.0,0.6135945461120834,1.1912917959365676,0.8551921512731956,0.0,15.614651005647941,0.4003629678844638,15.534303859385682,7.164603341440627,0.06345232726525593,1.489508491577916,0.2639152526685912,False
HD 37042,Bowman2020_Galactic,4.47,3.06,A,57.494,1.20717,1.84494,33.0,True,0.0,0.0,0.08651921377971758,1.1459634542053667,0.6867355078599936,0.0,14.0,0.08961590083281713,13.994695525318663,4.861110662725706,0.13418077711334547,1.7596225246399968,0.08176843402701914,False
HD 43112,Bowman2020_Galactic,4.41,2.95,A,6.269,0.76982,1.16679,7.0,True,0.0,0.0,0.41049011163501425,1.0406403184355755,0.7002558792204301,0.0,11.0,0.27550937364352307,10.98096022450449,5.014826119727381,0.027590148089858265,0.7971982698389589,-0.11361081008111748,False
HD 35912,Bowman2020_Galactic,4.26,2.44,A,241.602,2.08064,3.01021,11.0,True,0.0,0.0,0.6094850306305746,0.7967056547732675,0.6211315469613601,0.0,6.264069258818111,0.17317138200100052,6.261893179211311,4.179569458285365,0.052020318748819384,2.3831005250872095,0.3181969434800138,False
HD 48977,Bowman2020_Galactic,4.25,2.61,A,311.431,1.46731,2.33096,26.0,True,0.0,0.0,0.8200024255482423,0.8323432673110056,0.7460196906592015,0.0,6.800000000000001,0.09298124426352701,6.797406888753198,5.572110119824002,0.09222858127695607,2.493361840277231,0.16652187735149473,False
HD 34816,Bowman2020_Galactic,4.46,3.22,A,61.383,0.66173,1.34255,25.0,True,0.0,0.0,0.4742991638353563,1.1748806963772855,0.7963740915534597,0.0,15.0,0.269328189934104,14.958246865209253,6.257114345476332,0.07897284574740392,1.7880481100913557,-0.17931917586098825,False
HD 46328,Bowman2020_Galactic,4.4,3.28,A,54.479,1.08885,1.34896,7.0,True,0.0,0.0,0.8118010081864728,1.1106187171256414,0.9102904219989782,0.0,13.0,0.44155107144582195,12.90086162862406,8.133742550814617,0.017010594375686337,1.7362291272001074,0.03696805545897908,False
HD 50707,Bowman2020_Galactic,4.38,3.31,A,132.11,4.27661,1.75206,29.0,True,0.0,0.0,0.8885349540277346,1.1056187437626959,0.9665356808222548,0.0,12.93964202778364,0.3501480124127984,12.753187468922325,9.25839447233359,0.061911907934655196,2.1209356925611313,0.6310996471306316,False
