key,vmac,vsini,vmac_src,SpType,logTeff_sp,logL_sp,logg_sp
HD218440,17.0,13.0,SimonDiaz2017,B2.5 IV,4.22,2.68,
HD218915,93.0,51.0,SimonDiaz2017,O9.2 Iab,4.52,4.09,
HD21931,31.0,152.0,SimonDiaz2017,B9 V,,,
HD220222,21.0,122.0,SimonDiaz2017,B6 III,4.15,2.37,
HD222173,35.0,67.0,SimonDiaz2017,B8 V,,,
HD222661,37.0,142.0,SimonDiaz2017,B9.5 V,,,
HD223128,20.0,11.0,SimonDiaz2017,B2 IV,4.35,2.99,
HD223987,81.0,45.0,SimonDiaz2017,B1 Ib,4.32,3.97,
HD224055,60.0,33.0,SimonDiaz2017,B3 Ia,4.21,4.02,
HD224572,47.0,186.0,SimonDiaz2017,B1 V,4.33,3.42,
HD224990,40.0,22.0,SimonDiaz2017,B4 III,4.13,2.33,
HD225094,57.0,34.0,SimonDiaz2017,B3 Iab,4.2,4.06,
HD225160,107.0,85.0,SimonDiaz2017,O8 Iabf,4.52,4.2,
HD226868,81.0,112.0,SimonDiaz2017,O9.7 Iabp var,4.47,4.14,
HD23300,21.0,19.0,SimonDiaz2017,B6 V,4.14,2.42,
HD23302,54.0,180.0,SimonDiaz2017,B6 III,4.13,2.83,
HD23338,24.0,107.0,SimonDiaz2017,B6 IV,4.11,2.61,
HD23408,22.0,30.0,SimonDiaz2017,B8 III,4.08,2.69,
HD23432,42.0,158.0,SimonDiaz2017,B8 V,,,
HD23630,48.0,160.0,SimonDiaz2017,B7 III,4.12,2.87,
HD23675,77.0,51.0,SimonDiaz2017,B0.5 III,4.43,3.88,
HD237211,86.0,48.0,SimonDiaz2017,O9 Ib,4.52,4.09,
HD23873,30.0,83.0,SimonDiaz2017,B9.5 V,,,
HD24398,59.0,40.0,SimonDiaz2017,B1 Ib,4.38,3.83,
HD24431,51.0,65.0,SimonDiaz2017,O9 III,4.54,3.91,
HD24432,49.0,32.0,SimonDiaz2017,B3 II,4.15,3.68,
HD24587,19.0,31.0,SimonDiaz2017,B5 V,4.14,2.15,
HD24640,78.0,128.0,SimonDiaz2017,B1.5 V,4.26,2.6,
HD250289,48.0,101.0,SimonDiaz2017,B2 III:e,4.32,3.76,
HD250290,34.0,41.0,SimonDiaz2017,B3 Ib,4.2,3.79,
HD25204,54.0,71.0,SimonDiaz2017,B3 IV,4.2,2.79,
HD25443,70.0,39.0,SimonDiaz2017,B0.5 III,4.44,3.64,
HD256725,27.0,68.0,SimonDiaz2017,O5.5,4.51,4.04,
HD25914,33.0,33.0,SimonDiaz2017,B6 Ia,4.16,4.16,
HD26398,51.0,142.0,SimonDiaz2017,B7 III,4.2,2.72,
HD27192,79.0,153.0,SimonDiaz2017,B1.5 IV,4.33,3.17,
HD2729,49.0,106.0,SimonDiaz2017,B6 V,4.15,2.57,
HD27396,45.0,22.0,SimonDiaz2017,B4 IV,4.21,2.58,
HD27563,26.0,33.0,SimonDiaz2017,B5 III,4.16,2.61,
HD28114,24.0,21.0,SimonDiaz2017,B6 IV,4.17,2.66,
HD28446B,24.0,12.0,SimonDiaz2017,B1 IV:,4.47,3.3,
HD28503,19.0,62.0,SimonDiaz2017,B7 III,4.12,2.43,
HD28843,60.0,113.0,SimonDiaz2017,B9 III,4.09,2.45,
HD2905,82.0,59.0,SimonDiaz2017,B0.7 Ia,4.4,4.06,
HD29227,20.0,19.0,SimonDiaz2017,B7 III,4.12,2.32,
HD29248,40.0,32.0,SimonDiaz2017,B2 III,4.37,3.04,
HD30122,20.0,17.0,SimonDiaz2017,B5 III,4.17,2.68,
HD30211,33.0,132.0,SimonDiaz2017,B4 IV,4.18,2.82,
HD30614,119.0,99.0,SimonDiaz2017,O9 Ia,4.51,4.19,
HD30677,36.0,167.0,SimonDiaz2017,B1 II-III((n)),4.33,3.94,
HD30836,30.0,39.0,SimonDiaz2017,B2 III,4.29,3.16,
HD31327,53.0,35.0,SimonDiaz2017,B2.5 Ib,4.26,3.59,
HD3240,33.0,68.0,SimonDiaz2017,B7 III,4.09,2.34,
HD32612,20.0,56.0,SimonDiaz2017,B2.5 IV,4.28,2.7,
HD3360,17.0,23.0,SimonDiaz2017,B2 IV,4.29,2.91,
HD3369,19.0,18.0,SimonDiaz2017,B5 V,4.17,2.56,
HD3379,57.0,47.0,SimonDiaz2017,B2.5 IV,4.22,2.47,
HD34078,31.0,17.0,SimonDiaz2017,O9.5 V,4.53,3.53,
HD34085,51.0,38.0,SimonDiaz2017,B8 Ia,4.1,4.1,
HD34503,32.0,34.0,SimonDiaz2017,B5 III,4.13,2.79,
HD34656,87.0,44.0,SimonDiaz2017,O7.5 II(f),4.57,4.17,
HD34759,30.0,58.0,SimonDiaz2017,B5 V,4.16,2.4,
HD34989,12.0,48.0,SimonDiaz2017,B1 V,4.43,3.03,
HD35039,20.0,11.0,SimonDiaz2017,B2 IV-V,4.3,2.87,
HD35299,15.0,8.0,SimonDiaz2017,B1.5 V,4.37,2.69,
HD35468,27.0,53.0,SimonDiaz2017,B2 III,4.29,2.99,
HD35497,18.0,58.0,SimonDiaz2017,B7 III,4.1,2.54,
HD35600,32.0,24.0,SimonDiaz2017,B9 Ib,4.08,3.13,
HD35619,62.0,43.0,SimonDiaz2017,O7.5 V((f))z,4.58,3.8,
HD35633,123.0,176.0,SimonDiaz2017,B0.5 IV,4.53,4.24,
HD35912,21.0,10.0,SimonDiaz2017,B2 V,4.28,2.47,
HD36267,46.0,136.0,SimonDiaz2017,B5 V,4.18,2.2,
HD36285,19.0,11.0,SimonDiaz2017,B2 IV-V,4.31,2.65,
HD36351,17.0,30.0,SimonDiaz2017,B1.5 V,4.34,2.74,
HD36371,45.0,35.0,SimonDiaz2017,B5 Iab,4.16,3.97,
HD36408,29.0,52.0,SimonDiaz2017,B7 II,4.06,2.45,
HD36430,30.0,13.0,SimonDiaz2017,B2 V,4.28,2.4,
HD36483,72.0,174.0,SimonDiaz2017,O9.5 IV(n),4.51,3.64,
HD36486,96.0,128.0,SimonDiaz2017,O9.5 II Nwk,4.51,3.99,
HD36512,25.0,15.0,SimonDiaz2017,O9.7 V,4.53,3.3,
HD36591,19.0,9.0,SimonDiaz2017,B1 IV,4.43,3.03,
HD36629,18.0,10.0,SimonDiaz2017,B2 Vv,4.29,2.47,
HD36822,38.0,18.0,SimonDiaz2017,B0.2 IV,4.46,3.34,
HD36861,75.0,51.0,SimonDiaz2017,O8 III((f)),4.55,4.06,
HD36862,5.0,75.0,SimonDiaz2017,B0.5 V,4.4,2.9,
HD36959,14.0,12.0,SimonDiaz2017,B1 V,4.39,2.86,
HD36960,37.0,22.0,SimonDiaz2017,B0.5 V,4.46,3.33,
HD37020,15.0,55.0,SimonDiaz2017,B0.5 V,4.48,3.13,
HD37022,56.0,26.0,SimonDiaz2017,O7 Vp,4.59,3.58,
HD37041,47.0,133.0,SimonDiaz2017,O9.5 IVp,4.54,3.31,
HD37042,13.0,33.0,SimonDiaz2017,B2-B5,4.47,3.08,
HD37043,84.0,104.0,SimonDiaz2017,O9 III var,4.52,3.96,
HD37061,93.0,191.0,SimonDiaz2017,O9 V,4.45,3.01,
HD37128,85.0,42.0,SimonDiaz2017,B0 Ia,4.47,4.05,
HD37209,15.0,50.0,SimonDiaz2017,B2 IV,4.38,2.76,
HD37320,26.0,27.0,SimonDiaz2017,B8 III,4.09,2.34,
HD37366,39.0,18.0,SimonDiaz2017,O9.5 IV,4.52,3.26,
HD37468D,48.0,197.0,SimonDiaz2017,B2 V,4.3,2.79,
HD37479,23.0,152.0,SimonDiaz2017,B2 Vp,,,
HD37481,21.0,73.0,SimonDiaz2017,B1.5 IV,4.34,2.78,
HD37711,51.0,71.0,SimonDiaz2017,B3 IV,4.21,2.61,
HD37742,100.0,116.0,SimonDiaz2017,O9.2 Ib var Nwk,4.52,4.3,
HD37744,11.0,37.0,SimonDiaz2017,B1.5 V,4.37,2.81,
HD3827,22.0,177.0,SimonDiaz2017,B0.7 V((n)),4.36,3.42,
HD38771,83.0,43.0,SimonDiaz2017,B0.5 Ia,4.47,4.06,
HD38899,23.0,24.0,SimonDiaz2017,B9 IV,,,
HD3901,19.0,129.0,SimonDiaz2017,B2 V,4.21,2.73,
HD3950,55.0,46.0,SimonDiaz2017,B1 III,4.38,3.53,
HD39985,28.0,27.0,SimonDiaz2017,B9 Ib,,,
HD40111,58.0,145.0,SimonDiaz2017,B1 Ib,4.43,3.79,
HD40626,27.0,19.0,SimonDiaz2017,B9.5 IV,,,
HD41117,67.0,43.0,SimonDiaz2017,B2 Ia,4.27,4.21,
HD4142,29.0,189.0,SimonDiaz2017,B5 V,4.19,2.65,
HD41692,20.0,30.0,SimonDiaz2017,B5 IV,4.12,2.71,
HD42087,56.0,39.0,SimonDiaz2017,B2.5 Ib,4.27,3.9,
HD42088,67.0,40.0,SimonDiaz2017,O6 V((f))z,4.6,3.96,
HD42352,47.0,163.0,SimonDiaz2017,B1 III,4.37,3.37,
HD42400,34.0,25.0,SimonDiaz2017,B5 II,4.17,3.46,
HD42401,59.0,129.0,SimonDiaz2017,B2.5 V,4.28,2.99,
HD4253,24.0,145.0,SimonDiaz2017,B9 II,4.09,2.66,
HD43247,33.0,19.0,SimonDiaz2017,B9 II-III,,,
HD43384,52.0,30.0,SimonDiaz2017,B3 Iab,4.18,4.02,
HD43818,71.0,62.0,SimonDiaz2017,B0 II,4.48,4.15,
HD4382,21.0,24.0,SimonDiaz2017,B8 III,,,
HD44743,40.0,26.0,SimonDiaz2017,B1 II-III,4.37,3.2,
HD44766,61.0,175.0,SimonDiaz2017,B8 IIIn,,,
HD44811,48.0,26.0,SimonDiaz2017,O7 V(n)z,4.57,3.77,
HD46064,29.0,59.0,SimonDiaz2017,B1.5 V,4.27,2.83,
