star,sample,galaxy,Z_proxy,logTeff,logg,logL_spec,logL_class,vsini,vmac,nuchar,alpha0,gamma,Cw,alpha0_kind,SpType,mass,tau,n_sect,ref,key,log_nuchar,log_alpha0,logL_use,dup_B2020_Shen
Cl* NGC 346 MPG 12,Bowman2024_SMC,SMC,0.002,4.491361693834273,,,4.93,,,0.96,0.000426,,1.1e-05,PSDmax_proxy_mmag2d,,,,,prior,CL*NGC346MPG12,-0.017728766960431602,-3.370590400897281,4.93,False
AzV 202,Bowman2024_SMC,SMC,0.002,4.419955748489758,,,4.8,,,2.04,1.68e-05,,4.25e-06,PSDmax_proxy_mmag2d,,,,,prior,AZV202,0.3096301674258988,-4.774690718274138,4.8,False
Cl* NGC 346 ELS 46,Bowman2024_SMC,SMC,0.002,4.5910646070264995,,,4.81,,,2.1,0.00287,,0.000113,PSDmax_proxy_mmag2d,,,,,prior,CL*NGC346ELS46,0.3222192947339193,-2.5421181032660076,4.81,False
Cl* NGC 346 ELS 25,Bowman2024_SMC,SMC,0.002,4.558708570533166,,,4.9,,,0.73,0.00302,,3.64e-05,PSDmax_proxy_mmag2d,,,,,prior,CL*NGC346ELS25,-0.1366771398795441,-2.5199930570428495,4.9,False
AzV 267,Bowman2024_SMC,SMC,0.002,4.552668216112194,,,4.9,,,1.47,0.00053,,3.26e-05,PSDmax_proxy_mmag2d,,,,,prior,AZV267,0.1673173347481761,-3.275724130399211,4.9,False
AzV 264,Bowman2024_SMC,SMC,0.002,4.352182518111363,,,5.44,,,0.4,0.00117,,3.59e-07,PSDmax_proxy_mmag2d,,,,,prior,AZV264,-0.3979400086720376,-2.9318141382538383,5.44,False
AzV 251,Bowman2024_SMC,SMC,0.002,4.519827993775719,,,4.89,,,2.69,9.92e-05,,6.16e-06,PSDmax_proxy_mmag2d,,,,,prior,AZV251,0.42975228000240795,-4.0034883278458215,4.89,False
Cl* NGC 346 MPG 682,Bowman2024_SMC,SMC,0.002,4.541579243946581,,,4.89,,,0.73,0.00471,,2.99e-05,PSDmax_proxy_mmag2d,,,,,prior,CL*NGC346MPG682,-0.1366771398795441,-2.326979092871104,4.89,False
AzV 372,Bowman2024_SMC,SMC,0.002,4.447158031342219,,,5.62,,,0.48,0.000546,,2.5e-07,PSDmax_proxy_mmag2d,,,,,prior,AZV372,-0.3187587626244128,-3.2628073572952627,5.62,False
AzV 429,Bowman2024_SMC,SMC,0.002,4.583198773968623,,,5.13,,,1.03,0.000139,,6.14e-06,PSDmax_proxy_mmag2d,,,,,prior,AZV429,0.012837224705172217,-3.856985199745905,5.13,False
AzV 468,Bowman2024_SMC,SMC,0.002,4.540329474790874,,,4.76,,,7.78,4.66e-05,,1.07e-05,PSDmax_proxy_mmag2d,,,,,prior,AZV468,0.890979596989689,-4.33161408331,4.76,False
AzV 479,Bowman2024_SMC,SMC,0.002,4.4623979978989565,,,5.82,,,1.05,2.36e-05,,1.46e-07,PSDmax_proxy_mmag2d,,,,,prior,AZV479,0.021189299069938092,-4.627087997029894,5.82,False
AzV 472,Bowman2024_SMC,SMC,0.002,4.278753600952829,,,5.31,,,0.49,0.000254,,1.87e-07,PSDmax_proxy_mmag2d,,,,,prior,AZV472,-0.3098039199714863,-3.595166283380062,5.31,False
AzV 488,Bowman2024_SMC,SMC,0.002,4.439332693830263,,,5.74,,,0.56,0.000175,,7.58e-08,PSDmax_proxy_mmag2d,,,,,prior,AZV488,-0.25181197299379954,-3.7569619513137056,5.74,False
[M2002] SMC 81469,Bowman2024_SMC,SMC,0.002,4.491361693834273,,,4.9,,,1.99,4.21e-05,,2.5e-06,PSDmax_proxy_mmag2d,,,,,prior,[M2002]SMC81469,0.29885307640970665,-4.375717904164332,4.9,False
2dFS 3780,Bowman2024_SMC,SMC,0.002,4.505149978319906,,,4.85,,,1.39,1.58e-05,,2.39e-06,PSDmax_proxy_mmag2d,,,,,prior,2DFS3780,0.14301480025409505,-4.801342913045577,4.85,False
2dFS 163,Bowman2024_SMC,SMC,0.002,4.513217600067939,,,4.82,,,1.48,0.0004,,1.21e-05,PSDmax_proxy_mmag2d,,,,,prior,2DFS163,0.17026171539495738,-3.3979400086720375,4.82,False
2dFS 3954,Bowman2024_SMC,SMC,0.002,4.568201724066995,,,4.75,,,2.95,4.29e-05,,1.12e-05,PSDmax_proxy_mmag2d,,,,,prior,2DFS3954,0.46982201597816303,-4.367542707815276,4.75,False
AzV 461,Bowman2024_SMC,SMC,0.002,4.569373909615046,,,5.0,,,0.36,0.00576,,4.5e-06,PSDmax_proxy_mmag2d,,,,,prior,AZV461,-0.44369749923271273,-2.2395775165767877,5.0,False
AzV 456,Bowman2024_SMC,SMC,0.002,4.469822015978163,,,5.81,,,0.83,2.95e-05,,2.04e-07,PSDmax_proxy_mmag2d,,,,,prior,AZV456,-0.08092190762392612,-4.530177984021837,5.81,False
[L72] LH 9-89,Bowman2024_LMC,LMC,0.006,4.426511261364575,,,5.05,,,0.8,0.00989,,6.16e-06,PSDmax_proxy_mmag2d,,,,,prior,[L72]LH9-89,-0.09691001300805639,-2.0048037084028207,5.05,False
[ELS2006] N11 051,Bowman2024_LMC,LMC,0.006,4.617000341120899,,,5.42,,,2.5,3.67e-05,,1.64e-06,PSDmax_proxy_mmag2d,,,,,prior,[ELS2006]N11051,0.3979400086720376,-4.435333935747911,5.42,False
Sk -66 18,Bowman2024_LMC,LMC,0.006,4.60422605308447,,,5.55,,,2.87,1.55e-05,,5.69e-07,PSDmax_proxy_mmag2d,,,,,prior,SK-6618,0.4578818967339923,-4.809668301829708,5.55,False
[ELS2006] N11 046,Bowman2024_LMC,LMC,0.006,4.525044807036846,,,5.21,,,1.17,0.000443,,5.24e-06,PSDmax_proxy_mmag2d,,,,,prior,[ELS2006]N11046,0.06818586174616162,-3.3535962737769305,5.21,False
Sk -68 41,Bowman2024_LMC,LMC,0.006,4.389166084364533,,,5.56,,,0.42,0.000571,,9.05e-08,PSDmax_proxy_mmag2d,,,,,prior,SK-6841,-0.37675070960209955,-3.243363891754152,5.56,False
Sk -68 52,Bowman2024_LMC,LMC,0.006,4.389166084364533,,,5.76,,,0.32,0.00118,,8.9e-08,PSDmax_proxy_mmag2d,,,,,prior,SK-6852,-0.494850021680094,-2.9281179926938745,5.76,False
Sk -65 22,Bowman2024_LMC,LMC,0.006,4.525044807036846,,,5.86,,,0.67,0.000263,,1.29e-07,PSDmax_proxy_mmag2d,,,,,prior,SK-6522,-0.17392519729917355,-3.580044251510242,5.86,False
W61 28-5,Bowman2024_LMC,LMC,0.006,4.643452676486188,,,5.51,,,0.93,0.000161,,4.52e-06,PSDmax_proxy_mmag2d,,,,,prior,W6128-5,-0.03151705144606486,-3.7931741239681505,5.51,False
VFTS 72,Bowman2024_LMC,LMC,0.006,4.738780558484369,,,5.97,,,1.04,4.76e-05,,1.15e-06,PSDmax_proxy_mmag2d,,,,,prior,VFTS72,0.01703333929878037,-4.3223930472795065,5.97,False
Sk -66 17,Bowman2024_LMC,LMC,0.006,4.469822015978163,,,5.49,,,1.06,9.97e-05,,2.13e-07,PSDmax_proxy_mmag2d,,,,,prior,SK-6617,0.02530586526477026,-4.001304841688344,5.49,False
BI 237,Bowman2024_LMC,LMC,0.006,4.725911632295048,,,5.83,,,1.04,9.09e-06,,5.99e-07,PSDmax_proxy_mmag2d,,,,,prior,BI237,0.01703333929878037,-5.041436116778033,5.83,False
VFTS 244,Bowman2024_LMC,LMC,0.006,4.613313161455459,,,5.58,,,1.87,0.000494,,2.43e-05,PSDmax_proxy_mmag2d,,,,,prior,VFTS244,0.27184160653649897,-3.306273051076353,5.58,False
VFTS 355,Bowman2024_LMC,LMC,0.006,4.63748972951251,,,5.52,,,1.08,3.99e-05,,2.33e-06,PSDmax_proxy_mmag2d,,,,,prior,VFTS355,0.03342375548694973,-4.399027104313252,5.52,False
