star,sample,galaxy,Z_proxy,logTeff,logg,logL_spec,logL_class,vsini,vmac,nuchar,alpha0,gamma,Cw,alpha0_kind,SpType,mass,tau,n_sect,ref,key,log_nuchar,log_alpha0,logL_use,dup_B2020_Shen
373919576,Bowman2019b_LMC,LMC,0.006,,,,,,,1.72016,523.524,2.53623,148.916,amplitude_ppm_nominal,O8III,,,,Bowman2019b,373919576,0.23556884451530818,2.718936595907218,,False
389363675,Bowman2019b_LMC,LMC,0.006,,,,,,,0.26459,6698.089,2.00641,105.388,amplitude_ppm_nominal,B2III,,,,Bowman2019b,389363675,-0.5774265737044034,3.82595091387451,,False
389363695,Bowman2019b_LMC,LMC,0.006,,,,,,,0.45347,3700.985,2.70738,182.763,amplitude_ppm_nominal,B3Ia,,,,Bowman2019b,389363695,-0.3434514390678745,3.5683173249139637,,False
391810734,Bowman2019b_LMC,LMC,0.006,,,,,,,0.41084,5500.074,2.56303,72.454,amplitude_ppm_nominal,B0Ia,,,,Bowman2019b,391810734,-0.38632727945261386,3.7403685326897826,,False
391813813,Bowman2019b_LMC,LMC,0.006,,,,,,,0.36947,5140.843,1.86134,75.058,amplitude_ppm_nominal,B1.5Ia,,,,Bowman2019b,391813813,-0.43242081941637184,3.7110343408297237,,False
391887898,Bowman2019b_LMC,LMC,0.006,,,,,,,0.70486,2860.746,2.37693,103.997,amplitude_ppm_nominal,B0Ia,,,,Bowman2019b,391887898,-0.15189713444869646,3.4564792993657667,,False
404768604,Bowman2019b_LMC,LMC,0.006,,,,,,,0.62054,811.977,4.67932,44.253,amplitude_ppm_nominal,B1Ia,,,,Bowman2019b,404768604,-0.2072302186465217,2.9095437276222675,,False
404796860,Bowman2019b_LMC,LMC,0.006,,,,,,,0.22795,6012.403,2.56005,67.971,amplitude_ppm_nominal,B3Ia,,,,Bowman2019b,404796860,-0.6421604034620189,3.7790480828281146,,False
404797355,Bowman2019b_LMC,LMC,0.006,,,,,,,0.63062,2174.132,2.15612,45.357,amplitude_ppm_nominal,B0I,,,,Bowman2019b,404797355,-0.20023225979823012,3.3372859082559367,,False
404852071,Bowman2019b_LMC,LMC,0.006,,,,,,,0.42692,3839.035,3.25561,67.815,amplitude_ppm_nominal,B3I,,,,Bowman2019b,404852071,-0.36965349924576,3.584222071543708,,False
404852096,Bowman2019b_LMC,LMC,0.006,,,,,,,0.26069,9333.182,1.84742,99.554,amplitude_ppm_nominal,B1Iab,,,,Bowman2019b,404852096,-0.5838756279345291,3.970029734790654,,False
404854454,Bowman2019b_LMC,LMC,0.006,,,,,,,0.93515,1385.147,2.81052,82.869,amplitude_ppm_nominal,B1.5Ib,,,,Bowman2019b,404854454,-0.029118721804085493,3.141495865747841,,False
404966400,Bowman2019b_LMC,LMC,0.006,,,,,,,0.50357,3485.756,2.14991,94.145,amplitude_ppm_nominal,B1Ia,,,,Bowman2019b,404966400,-0.29794015072967034,3.5422969835879936,,False
425067522,Bowman2019b_LMC,LMC,0.006,,,,,,,0.84841,1593.401,2.48443,92.626,amplitude_ppm_nominal,B1Ia,,,,Bowman2019b,425067522,-0.07139422120306615,3.2023250853878173,,False
425068672,Bowman2019b_LMC,LMC,0.006,,,,,,,0.64639,5995.88,2.11523,306.161,amplitude_ppm_nominal,B1Ia,,,,Bowman2019b,425068672,-0.18950537095007405,3.777852932405172,,False
425083410,Bowman2019b_LMC,LMC,0.006,,,,,,,1.75798,1010.087,3.11601,52.394,amplitude_ppm_nominal,O4Ia,,,,Bowman2019b,425083410,0.2450139299305596,3.0043587816962116,,False
