key,vmac,vsini,vmac_src,SpType,logTeff_sp,logL_sp,logg_sp,ev_tau,ev_logM,ev_logR,ev_phase,ev_Mini,ev_dist,ev_R,f_rot
HD185418,10.0,132.0,SimonDiaz2017,B0.5 V,4.39,3.13,,0.7493399121966109,1.0760155146696613,0.8483880625223299,0.0,12.0,0.23612767513677688,7.05323026736608,0.36991142023331924
HD185423,32.0,154.0,SimonDiaz2017,B3 III,4.22,3.26,,1.0010958935704146,1.0329521739636995,1.2351553438557932,2.0,11.060411874836154,0.11974314797978361,17.18522979922732,0.1771239332788294
HD18604,50.0,131.0,SimonDiaz2017,B6 III,4.11,2.44,,1.0003438770464455,0.6981136423878993,0.8725569383069239,2.0,4.993960614267543,0.006356406643330571,7.456876292173052,0.3472371860467447
HD186568,22.0,20.0,SimonDiaz2017,B5 III,4.08,2.29,,0.9987396352571064,0.6451138045164033,0.8245970299524878,1.2686849286372852,4.420122977209499,0.0509681146689519,6.677240670259085,0.05920315297067131
HD186980,78.0,51.0,SimonDiaz2017,O7.5 III((f)),4.56,4.11,,0.8103645562809783,1.6519997695174504,1.2838105647940077,0.0,52.709198337593655,0.27521635484838847,19.222530771378594,0.052441062474481506
HD187459,76.0,150.0,SimonDiaz2017,B0.5 II,4.42,3.93,,0.9981089092126025,1.3967182509498257,1.3400918765150083,1.6006254979301289,26.39937450206987,0.08719391755291188,21.882245015247772,0.13549125119973218
HD187879,66.0,100.0,SimonDiaz2017,B1 III,4.3,3.58,,1.0010303031661978,1.1629211481060833,1.2866148252360772,2.0,14.999999999999998,0.21208692978045754,19.347053171769428,0.10216380172050309
HD188001,91.0,82.0,SimonDiaz2017,O7.5 Iabf,4.52,4.19,,0.8821929420882025,1.6682673557797334,1.4138790337614364,0.0,57.64052348683069,0.29495534163748194,25.934568928417566,0.06249520390522929
HD188209,76.0,52.0,SimonDiaz2017,O9.5 Iab,4.52,4.09,,0.8711831818175897,1.6086507730440731,1.3319052821330448,0.0,47.18837415482768,0.19064006244592077,21.4736209208405,0.04786410386630058
HD188252,46.0,94.0,SimonDiaz2017,B2 III,4.32,3.26,,0.9809466874782248,1.0646945638649437,1.0374115630579548,0.12374550354081741,11.880395698841328,0.3013618584138641,10.899625168108686,0.17046222830725827
HD188665,20.0,107.0,SimonDiaz2017,B5 V,4.13,2.25,,0.9042935813282068,0.6795038691171359,0.7319539751060952,0.0,4.783918840962384,0.13515277101638346,5.394534502403251,0.3920501942220696
HD189775,16.0,61.0,SimonDiaz2017,B5 III,4.12,2.67,,1.0011113418406752,0.7761825772784503,1.0045027406074138,2.0,5.977867283041706,0.08079639442329035,10.10421876756935,0.11932706676750017
HD189957,73.0,90.0,SimonDiaz2017,O9.7 III,4.49,3.86,,0.8817205672421063,1.4342471379078305,1.1917879174072215,0.0,28.91272070595999,0.25371554897124327,15.552059796220654,0.11438431159693149
HD190603,67.0,47.0,SimonDiaz2017,B1.5 Ia +,4.33,4.08,,1.0002636053117475,1.4779815957880065,1.6392332947639379,2.0,33.06377380023658,0.048158243730163156,43.574588525696015,0.021319471471016076
HD190864,82.0,55.0,SimonDiaz2017,O6.5 III(f),4.58,4.11,,0.7740027595443737,1.6668056064739702,1.2506463447619245,0.0,54.39104447057202,0.048082199320293686,17.809279292944336,0.06104192423411915
HD190919,77.0,48.0,SimonDiaz2017,B0.7 Ib,4.39,4.12,,0.9997310036013038,1.5239310404768223,1.5658184324323552,0.0,37.83048040393075,0.0713575929562059,36.797510037234865,0.025783072849656898
HD191139,59.0,41.0,SimonDiaz2017,B0.5 III,4.42,3.94,,0.9991921989189388,1.3970603190986646,1.3457254757521837,1.5725417477143462,26.427458252285653,0.19548904658581345,22.167947066617188,0.03655697499874557
HD191243,40.0,27.0,SimonDiaz2017,B5 Ib,4.16,3.58,,1.0019322799828867,1.1861800180190478,1.5995598789614967,2.1376669779824917,15.862333022017511,0.4601026713049232,39.77039266819005,0.013418864142580056
HD191746,20.0,78.0,SimonDiaz2017,B2 IV,4.25,3.1,,1.0006305999125216,0.9644695010605469,1.0557417999961123,2.0,9.29030028850935,0.38035410558672006,11.369511361547486,0.1356015561429696
HD191877,95.0,171.0,SimonDiaz2017,B1 Ib,4.33,3.82,,1.0011601548224731,1.3145443839350448,1.4347723692023302,2.0,21.544026040599462,0.2553792121048096,27.212746072983958,0.12420400840748032
HD191978,81.0,62.0,SimonDiaz2017,O8 Vz,4.55,3.87,,0.7498365575244285,1.4913392913902679,1.1043704781260508,0.0,33.06111075056087,0.20430098164869562,12.716584402986422,0.09636805243588421
HD192001,69.0,41.0,SimonDiaz2017,O9.5 IV,4.52,3.56,,0.5847788764404668,1.3357776630601188,0.9291073867684897,0.0,22.000000000000004,0.08633714962986666,8.49390475453191,0.09540877960227372
HD192276,24.0,19.0,SimonDiaz2017,B8 III,4.11,2.01,,0.7887732471125957,0.6018887780237907,0.6045658408146268,0.0,4.0,0.23011942461479054,4.02314643916323,0.09334684219455841
HD192422,87.0,49.0,SimonDiaz2017,B0.5 Ib,4.45,4.23,,0.9748655259758897,1.6370638589890625,1.5618545640401518,0.0,54.3834653603518,0.2220379680972396,36.46318190579922,0.026561548290527495
HD192639,96.0,104.0,SimonDiaz2017,O7.5 Iabf,4.54,4.21,,0.8639067254797148,1.6870882388675852,1.392738601647802,0.0,61.25396047375986,0.17479922562335048,24.702368817836213,0.08321595630930309
