model_number,Minit,M,Xc,logTeff,logL,logLspec,tau_Fe,beta_Fe,kap_Fe,T_Fe,r_Fe_R,Gamma_Fe,Y_Fe,tau_ratio,v_c,mach_max,tau_crit,t_th_zone,t_th_above,t_th_peak,t_th_top,nu_turn,FeCZ_ncells,tau_top,tau_bot,nu_th_zone,nu_th_above,nu_th_peak,nu_th_top
19426,50,42.6622,0,4.32115,5.96762,4.33576,3072.78,0.0565556,0.832736,167880,0.586031,1.38683,1.14759,0.611575,56.2931,0.287632,5024.37,3.58691e+07,3.63966e+07,8.01872e+06,527542,0.0819991,346,454.069,8433.38,0.000383366,0.000377809,0.00171486,0.0260661
19448,50,42.6564,0,4.26877,5.97136,4.33955,4316.69,0.0603455,0.843465,169236,0.522155,1.41709,0.860812,0.78348,51.1288,0.268509,5509.64,5.43501e+07,5.54958e+07,1.37672e+07,1.14572e+06,0.0607866,338,652.902,11684.6,0.000253008,0.000247784,0.000998825,0.0120021
19467,50,42.6524,1.6168e-27,4.21822,5.97427,4.34251,5841.97,0.0636203,0.85281,170680,0.459417,1.44261,0.671944,0.979346,47.0598,0.252274,5965.17,7.88544e+07,8.11341e+07,2.23316e+07,2.27975e+06,0.0471118,349,900.395,15522.2,0.000174385,0.000169485,0.000615763,0.0060318
19485,50,42.6495,0,4.16768,5.97674,4.345,7477.86,0.0669998,0.860896,170702,0.401957,1.4647,0.551053,1.16799,43.688,0.238567,6402.36,1.06872e+08,1.11211e+08,3.36323e+07,4.33942e+06,0.0375901,360,1224.05,19756,0.000128668,0.000123647,0.000408863,0.00316886
19503,50,42.6473,4.38453e-28,4.11565,5.97883,4.34712,9527.65,0.069791,0.867967,171637,0.344087,1.48394,0.454675,1.39537,40.8419,0.226435,6828.03,1.42987e+08,1.50925e+08,5.02778e+07,7.93749e+06,0.0306564,364,1630.84,24576.9,9.61695e-05,9.11117e-05,0.0002735,0.00173241
19521,50,42.6457,0,4.06318,5.9805,4.34881,11690.9,0.0724018,0.873966,171981,0.29164,1.50001,0.38719,1.61825,38.4927,0.216164,7224.41,1.83334e+08,1.97099e+08,7.16259e+07,1.37648e+07,0.0256267,376,2114.3,29753.9,7.50051e-05,6.9767e-05,0.000191983,0.000999
19539,50,42.6436,0,4.01289,5.98147,4.3498,13945.6,0.0748112,0.87925,172264,0.246768,1.5123,0.338143,1.8391,36.578,0.207753,7582.82,2.26121e+08,2.48493e+08,9.74547e+07,2.2372e+07,0.0220776,362,2678.38,34989.3,6.08125e-05,5.53375e-05,0.000141101,0.000614653
19559,50,42.6372,0,3.96198,5.98201,4.3504,16371.8,0.0772168,0.884051,172431,0.207152,1.52242,0.299375,2.06166,34.8371,0.200406,7941.05,2.73318e+08,3.07934e+08,1.29449e+08,3.46164e+07,0.0192872,376,3296.92,40589.5,5.03114e-05,4.46556e-05,0.000106227,0.00039724
19580,50,42.6309,0,3.91104,5.98236,4.35081,18847.3,0.0791139,0.888114,172802,0.171948,1.53068,0.269445,2.28449,33.4631,0.194305,8250.13,3.20024e+08,3.72117e+08,1.68064e+08,5.2093e+07,0.0172154,381,4012.08,45812.7,4.29686e-05,3.69534e-05,8.18202e-05,0.00026397
19607,50,42.6231,0,3.86034,5.98232,4.35086,21711,0.0811036,0.892462,172987,0.14282,1.53798,0.243775,2.53422,32.1552,0.188236,8567.13,3.74605e+08,4.5492e+08,2.21767e+08,8.0315e+07,0.0154104,384,4916.56,51885.1,3.6708e-05,3.02273e-05,6.20064e-05,0.000171213
19652,50,42.612,9.80377e-27,3.80967,5.9816,4.35025,25579.5,0.0833931,0.897815,173546,0.119134,1.54451,0.216565,2.86171,30.7424,0.181657,8938.52,4.45851e+08,5.80625e+08,3.10963e+08,1.34775e+08,0.0136362,367,6260.04,59476,3.08421e-05,2.36831e-05,4.42207e-05,0.00010203
19733,50,42.5955,0,3.75957,5.97986,4.34868,30566,0.0861872,0.904099,174001,0.0999187,1.54881,0.191828,3.26512,29.2644,0.175076,9361.36,5.30016e+08,7.65978e+08,4.56848e+08,2.35962e+08,0.0120401,387,8126.56,68769.7,2.59445e-05,1.79522e-05,3.00997e-05,5.82762e-05
19900,50,42.5661,0,3.70939,5.97608,4.34519,38091,0.0902522,0.912832,173945,0.0852784,1.54955,0.166112,3.83863,27.485,0.167552,9923.06,6.55596e+08,1.10667e+09,7.35086e+08,4.51071e+08,0.0103196,390,11589.2,83126.8,2.09748e-05,1.24256e-05,1.87066e-05,3.04852e-05
