observable,logTeff,logLspec,vsini,omega,omega_from_vsini
alpha0,4.25,2.61,26,0.06417,True
alpha0,4.46,3.22,25,0.05032,True
alpha0,4.4,3.28,7,0.01542,True
alpha0,4.38,3.31,29,0.07057,True
alpha0,4.2,2.61,53,0.1325,True
alpha0,4.21,2.61,68,0.1795,True
alpha0,4.23,2.61,25,0.0638,True
alpha0,4.13,2.33,20,0.05546,True
alpha0,4.48,3.93,48,0.1955,True
alpha0,4.29,2.99,53,0.1382,True
alpha0,4.37,3.2,24,0.05897,True
alpha0,4.16,2.61,34,0.1213,True
alpha0,4.47,4.05,55,0.5486,True
alpha0,4.47,4.06,53,0.5926,True
alpha0,4.11,2.34,26,0.3018,False
alpha0,4.49,3.07,210,0.3018,False
alpha0,4.47,4.15,122,0.6,True
alpha0,4.54,3.62,12,0.02621,True
alpha0,4.554,3.75,,0.3018,False
alpha0,4.588,3.74,38,0.08804,True
alpha0,4.6,3.91,74,0.2312,True
alpha0,4.547,3.96,63,0.2678,True
alpha0,4.587,3.78,,0.3018,False
alpha0,4.474,4.11,90,0.6,True
alpha0,4.621,4.08,64,0.3953,True
alpha0,4.479,4.26,93,0.6,True
alpha0,4.554,3.8,82,0.222,True
alpha0,4.519,3.63,57,0.1278,True
alpha0,4.579,3.91,61,0.1982,True
alpha0,4.52,4.16,97,0.6,True
alpha0,4.505,4.11,104,0.6,True
alpha0,4.554,4.14,,0.3018,False
alpha0,4.547,3.69,43,0.09999,True
alpha0,4.548,3.54,54,0.1109,True
alpha0,4.576,3.7,,0.3018,False
alpha0,4.493,4.14,88,0.6,True
alpha0,4.452,4.09,88,0.6,True
alpha0,4.576,3.82,,0.3018,False
alpha0,4.538,3.47,32,0.06416,True
alpha0,4.556,4.12,77,0.6,True
alpha0,4.547,3.74,,0.3018,False
alpha0,4.558,3.74,,0.3018,False
alpha0,4.464,4.21,63,0.6,True
alpha0,4.566,3.93,,0.3018,False
alpha0,4.671,4.14,53,0.3536,True
alpha0,4.486,4.02,77,0.6,True
alpha0,4.579,3.8,,0.3018,False
alpha0,4.589,3.91,57,0.1818,True
alpha0,4.543,3.86,63,0.1957,True
alpha0,4.566,4.02,90,0.6,True
alpha0,4.653,4.14,84,0.6,True
alpha0,4.551,3.93,77,0.2934,True
alpha0,4.568,3.95,60,0.231,True
alpha0,4.591,3.68,52,0.1111,True
alpha0,4.614,3.95,67,0.2258,True
alpha0,4.611,4.01,,0.3018,False
alpha0,4.529,3.47,29,0.05866,True
alpha0,4.49,4.23,105,0.6,True
alpha0,4.505,3.61,50,0.1112,True
alpha0,4.559,4.07,,0.3018,False
alpha0,4.521,4.12,103,0.6,True
alpha0,4.544,4.07,92,0.6,True
alpha0,4.477,4.06,131,0.6,True
alpha0,4.593,3.87,79,0.2251,True
alpha0,4.534,3.92,,0.3018,False
alpha0,4.592,4.14,,0.3018,False
alpha0,4.588,3.94,65,0.2307,True
