gaia,sector,Tmag,nu_in,R,a0_in,Af,nu_floor,bic_white,cw_white,bic_slf,nu_slf,a0_slf,g_slf,cw_slf,bic_floor,logk_floor,cw_floor,bic_slf+floor,nu_slf+floor,a0_slf+floor,g_slf+floor,logk_slf+floor,cw_slf+floor,dbic_above_floor,dbic_slf_vs_white
4685959373284393728,28,13.9,3,1,0.75942,0.75942,0.28674,-3422.3,0.25889,-5982.5,1.3219,1.4756,1.3451,0.099816,-5925,1.0639,0.10346,-5984.3,3.6875,0.62654,2.0306,0.52061,0.10352,59.285,2560.1
4685959373284393728,28,13.9,3,2,1.5188,0.75942,0.28674,-1237.8,0.44529,-5154.2,2.3929,2.0201,1.8305,0.10799,-5081.5,1.3617,0.10405,-5147.4,2.4397,1.9809,1.843,0.062131,0.10807,65.878,3916.4
4685959373284393728,28,13.9,3,4,3.0377,0.75942,0.28674,760.16,0.73125,-4315.4,3.0877,2.9824,1.9718,0.10236,-4197.3,1.6355,0.088138,-4308.6,3.1079,2.9612,1.9763,0.054693,0.1024,111.32,5075.6
4685959373284393728,28,13.9,3,8,6.0754,0.75942,0.28674,3829.3,1.5667,-2666.3,2.9872,6.4774,1.9959,0.11259,-2519.9,1.9185,0.069179,-2659.4,2.9896,6.4713,1.9964,0.0033133,0.1126,139.5,6495.6
4685959373284393728,28,13.9,3,16,12.151,0.75942,0.28674,6872.8,3.3352,-96.282,2.3102,16.215,1.7438,0.11524,25.536,2.2297,1.9117e-05,-89.369,2.3106,16.212,1.7439,0.00089421,0.11525,114.9,6969.1
4685959373284393728,67,13.9,0.3,0.5,0.94811,1.8962,0.22745,-3783.6,0.25787,-4374,0.02,13.295,0.94382,0.21319,-4386.1,0.12903,0.21573,-4370.2,5.5613,0.12362,7.0012,0.09415,0.21333,-15.98,590.39
4685959373284393728,67,13.9,0.3,1,1.8962,1.8962,0.22745,-3208,0.29364,-4367,0.02,21.952,1.0687,0.21401,-4375.3,0.18851,0.21491,-4359.4,0.17672,3.1655,10,0.13968,0.21542,-15.896,1159
4685959373284393728,67,13.9,0.3,2,3.7924,1.8962,0.22745,-1788.8,0.40446,-4287.8,0.26072,6.2003,1.8393,0.21599,-4286.9,0.39895,0.21306,-4282.9,0.39615,3.8836,3.0407,0.21889,0.21494,-4.0304,2499
4685959373284393728,67,13.9,0.3,4,7.5849,1.8962,0.22745,-900.47,0.49423,-4153.9,0.13454,12.295,1.3571,0.2147,-4163,0.53462,0.21379,-4146.9,0.13228,12.163,1.3646,-0.0032394,0.21472,-16.05,3253.4
4685959373284393728,67,13.9,0.3,8,15.17,1.8962,0.22745,1886.2,0.92683,-3689.4,0.15171,24.495,1.4227,0.22361,-3690.9,0.82117,0.22134,-3690.5,0.39296,8.8616,10,0.774,0.22272,-0.38317,5575.6
4685959373284393728,67,13.9,0.3,16,30.339,1.8962,0.22745,5969.5,2.3287,-2644.3,0.16749,60.862,1.6943,0.27893,-2574,1.0505,0.26975,-2637.3,0.16888,60.363,1.6994,0.0074638,0.2789,63.27,8613.7
4685959373284393728,67,13.9,0.7,0.5,0.94811,1.8962,0.22745,-3090.8,0.3015,-4327.4,0.10331,6.7389,1.1783,0.21326,-4340.5,0.28781,0.214,-4320.4,0.083877,6.9224,1.1487,-0.028399,0.21328,-20.118,1236.6
4685959373284393728,67,13.9,0.7,1,1.8962,1.8962,0.22745,-2957,0.31075,-4259.3,0.5946,2.2984,1.6095,0.21298,-4268.2,0.44091,0.21241,-4252.2,0.6391,2.0667,1.6474,-0.086074,0.21301,-16.046,1302.4
4685959373284393728,67,13.9,0.7,2,3.7924,1.8962,0.22745,-1444.5,0.43713,-4067.5,0.60264,3.7842,1.6411,0.21372,-4074.8,0.64894,0.2123,-4060.5,0.63393,3.5319,1.666,0.0012469,0.21372,-14.291,2623
4685959373284393728,67,13.9,0.7,4,7.5849,1.8962,0.22745,1125.5,0.78065,-3430.6,0.72408,6.6459,1.5888,0.22074,-3429.3,1.006,0.21774,-3423.7,0.74265,6.4574,1.5981,0.041939,0.22079,-5.5418,4556.2
4685959373284393728,67,13.9,0.7,8,15.17,1.8962,0.22745,4232.2,1.5735,-2504,0.49425,17.861,1.4953,0.24195,-2505.3,1.2669,0.23649,-2497,0.49492,17.816,1.4957,-0.0023131,0.24195,-8.2414,6736.2
4685959373284393728,67,13.9,0.7,16,30.339,1.8962,0.22745,7642.2,3.3965,-962.8,0.54312,36.951,1.674,0.32735,-932.66,1.5073,0.30666,-955.79,0.54348,36.92,1.6744,0.0019354,0.32735,23.135,8605
4685959373284393728,67,13.9,1.5,0.5,0.94811,1.8962,0.22745,-2652.4,0.33285,-4134,0.37668,3.1023,1.1598,0.21083,-4130.7,0.55229,0.21463,-4131.8,2.8115,0.56181,2.5816,0.29775,0.21373,1.0273,1481.6
