gaia,sector,metric,prewhitened,n_pw,alpha0,nuchar,gamma,Cw,e_alpha0,e_nuchar,e_gamma,e_Cw,dBIC_vs_white,T_span,n_pts,dt_min,pass_nu,pass_bic
4685976621875402368,28,log,True,0,3.5998,0.20122,1.4232,0.095618,0.54283,0.034484,0.04823,0.00066669,3979.7,25.236,3448,9.9999,True,True
4685976621875402368,28,lin,False,0,4.5226,0.17614,1.4319,0.11497,0.049614,0.0035047,0.015433,0.00090949,24699,25.236,3448,9.9999,True,True
4685976621875402368,28,lin,True,0,4.5226,0.17614,1.4319,0.11497,0.049614,0.0035047,0.015433,0.00090949,24699,25.236,3448,9.9999,True,True
4685976621875402368,67,log,False,0,15.107,0.023906,1.2235,0.12709,8.5146,0.013602,0.044109,0.00039706,2312.1,27.75,11490,3.3334,False,True
4685976621875402368,67,log,True,0,15.107,0.023906,1.2235,0.12709,8.5146,0.013602,0.044109,0.00039706,2312.1,27.75,11490,3.3334,False,True
4685976621875402368,67,lin,False,0,20.279,0.02,1.2602,0.15158,0.54061,0.00073866,0.0095329,0.00037279,60391,27.75,11490,3.3334,False,True
4685976621875402368,67,lin,True,0,20.279,0.02,1.2602,0.15158,0.54061,0.00073866,0.0095329,0.00037279,60391,27.75,11490,3.3334,False,True
4685976621875402368,68,log,False,0,6.1076,0.10833,1.3133,0.11456,1.1959,0.023353,0.037491,0.000368,4318.1,27.525,11218,3.3333,False,True
4685976621875402368,68,log,True,0,6.1076,0.10833,1.3133,0.11456,1.1959,0.023353,0.037491,0.000368,4318.1,27.525,11218,3.3333,False,True
4685976621875402368,68,lin,False,0,14.226,0.035823,1.0831,0.13264,0.22257,0.00098383,0.0062345,0.00043112,70450,27.525,11218,3.3333,False,True
4685976621875402368,68,lin,True,0,14.226,0.035823,1.0831,0.13264,0.22257,0.00098383,0.0062345,0.00043112,70450,27.525,11218,3.3333,False,True
4685983420730442624,27,log,False,0,5.532,0.25965,2.039,0.089766,0.66204,0.026625,0.066569,0.00048291,4626.1,24.354,3351,10,True,True
4685983420730442624,27,log,True,0,5.532,0.25965,2.039,0.089766,0.66204,0.026625,0.066569,0.00048291,4626.1,24.354,3351,10,True,True
4685983420730442624,27,lin,False,0,27.425,0.024425,1.0507,0.083707,0.79229,0.0011604,0.0083384,0.0015205,31189,24.354,3351,10,False,True
4685983420730442624,27,lin,True,0,27.425,0.024425,1.0507,0.083707,0.79229,0.0011604,0.0083384,0.0015205,31189,24.354,3351,10,False,True
4685983420730442624,28,log,False,0,11.895,0.10498,1.4561,0.074742,2.3929,0.02002,0.034956,0.00053241,5995.2,25.236,3449,9.9999,False,True
4685983420730442624,28,log,True,0,11.895,0.10498,1.4561,0.074742,2.3929,0.02002,0.034956,0.00053241,5995.2,25.236,3449,9.9999,False,True
4685983420730442624,28,lin,False,0,11.347,0.12602,1.4384,0.087697,0.08726,0.0017069,0.010027,0.0011881,37633,25.236,3449,9.9999,False,True
4685983420730442624,28,lin,True,0,11.347,0.12602,1.4384,0.087697,0.08726,0.0017069,0.010027,0.0011881,37633,25.236,3449,9.9999,False,True
4685983420730442624,67,log,False,0,7.9698,0.17107,1.6936,0.082854,1.1021,0.021139,0.04,0.00023479,6969.4,27.75,11490,3.3334,True,True
4685983420730442624,67,log,True,0,7.9698,0.17107,1.6936,0.082854,1.1021,0.021139,0.04,0.00023479,6969.4,27.75,11490,3.3334,True,True
4685983420730442624,67,lin,False,0,6.9194,0.30911,3.0602,0.10071,0.024484,0.0013501,0.026142,0.00053421,83650,27.75,11490,3.3334,True,True
4685983420730442624,67,lin,True,0,6.9194,0.30911,3.0602,0.10071,0.024484,0.0013501,0.026142,0.00053421,83650,27.75,11490,3.3334,True,True
4685983420730442624,68,log,False,0,11.812,0.14039,1.2396,0.082976,1.819,0.023074,0.01933,0.00034991,13656,27.525,11218,3.3333,False,True
4685983420730442624,68,log,True,0,11.812,0.14039,1.2396,0.082976,1.819,0.023074,0.01933,0.00034991,13656,27.525,11218,3.3333,False,True
4685983420730442624,68,lin,False,0,40.114,0.0269,1.011,0.090512,0.53545,0.00062908,0.0039251,0.00076163,1.039e+05,27.525,11218,3.3333,False,True
4685983420730442624,68,lin,True,0,40.114,0.0269,1.011,0.090512,0.53545,0.00062908,0.0039251,0.00076163,1.039e+05,27.525,11218,3.3333,False,True
4685987857514223744,28,log,False,0,5.4825,0.26796,1.8424,0.35019,0.74634,0.03905,0.10331,0.0018725,1879.3,25.236,3449,9.9999,True,True
4685987857514223744,28,log,True,4,17.047,0.02,1.3645,0.35239,16.949,0.019342,0.12406,0.0019144,522.34,25.236,3449,9.9999,False,True
4685987857514223744,28,lin,False,0,6.6987,0.34503,2.0212,0.4138,0.094597,0.0075389,0.04588,0.0031834,11778,25.236,3449,9.9999,True,True
4685987857514223744,28,lin,True,0,6.6987,0.34503,2.0212,0.4138,0.094597,0.0075389,0.04588,0.0031834,11778,25.236,3449,9.9999,True,True
4686408111398825728,27,log,False,0,0.89655,0.50942,1.9024,0.062933,0.08636,0.053044,0.086118,0.00035566,3063.5,24.354,3350,10,True,True
4686408111398825728,27,log,True,0,0.89655,0.50942,1.9024,0.062933,0.08636,0.053044,0.086118,0.00035566,3063.5,24.354,3350,10,True,True
4686408111398825728,27,lin,False,0,1.9328,0.21398,1.4886,0.073591,0.027225,0.0054031,0.022324,0.00058433,16807,24.354,3350,10,True,True
4686408111398825728,27,lin,True,0,1.9328,0.21398,1.4886,0.073591,0.027225,0.0054031,0.022324,0.00058433,16807,24.354,3350,10,True,True
4686408111398825728,28,log,False,0,1.4251,0.67884,2.5356,0.088779,0.11065,0.047618,0.11826,0.00046943,3646.7,25.236,3427,9.9999,True,True
4686408111398825728,28,log,True,0,1.4251,0.67884,2.5356,0.088779,0.11065,0.047618,0.11826,0.00046943,3646.7,25.236,3427,9.9999,True,True
4686408111398825728,28,lin,False,0,3.4176,0.24554,1.5666,0.10334,0.038754,0.0048964,0.020655,0.00094302,20548,25.236,3427,9.9999,True,True
4686408111398825728,28,lin,True,0,3.4176,0.24554,1.5666,0.10334,0.038754,0.0048964,0.020655,0.00094302,20548,25.236,3427,9.9999,True,True
4686408111398825728,68,log,False,0,4.6696,0.49391,1.2922,0.088405,0.39505,0.049598,0.02083,0.00040705,16556,27.525,11214,3.3333,True,True
4686408111398825728,68,log,True,0,4.6696,0.49391,1.2922,0.088405,0.39505,0.049598,0.02083,0.00040705,16556,27.525,11214,3.3333,True,True
4686408111398825728,68,lin,False,0,21.64,0.064878,0.95911,0.08882,0.27261,0.0016959,0.0051777,0.0011889,71288,27.525,11214,3.3333,False,True
4686408111398825728,68,lin,True,0,21.64,0.064878,0.95911,0.08882,0.27261,0.0016959,0.0051777,0.0011889,71288,27.525,11214,3.3333,False,True
4686410550940229888,27,log,False,0,2.453,0.23477,2.0082,0.23528,0.38498,0.039236,0.16338,0.0012197,1012.8,24.354,3351,10,True,True
4686410550940229888,27,log,True,1,2.8886,0.1846,1.9583,0.2355,0.51386,0.034494,0.16089,0.0012144,943.48,24.354,3351,10,True,True
4686410550940229888,27,lin,False,0,4.5144,0.13484,1.687,0.27904,0.096514,0.0046632,0.040297,0.0014677,9397.8,24.354,3351,10,False,True
4686410550940229888,27,lin,True,1,4.3859,0.14,1.9904,0.28038,0.080241,0.0037909,0.050247,0.0013837,9808.1,24.354,3351,10,False,True
4686410550940229888,28,log,False,0,0.32018,0.68354,2.5397,0.16169,0.037746,0.092776,0.3775,0.00078977,450.3,25.236,3449,9.9999,True,True
4686410550940229888,28,log,True,0,0.32018,0.68354,2.5397,0.16169,0.037746,0.092776,0.3775,0.00078977,450.3,25.236,3449,9.9999,True,True
4686410550940229888,28,lin,False,0,0.34957,0.70079,2.7045,0.19029,0.013403,0.035893,0.23151,0.00077037,1522.7,25.236,3449,9.9999,True,True
4686410550940229888,28,lin,True,0,0.34957,0.70079,2.7045,0.19029,0.013403,0.035893,0.23151,0.00077037,1522.7,25.236,3449,9.9999,True,True
4686410550940229888,68,log,False,0,7.7902,0.75343,1.7683,0.26131,0.52793,0.052386,0.038297,0.00079459,10870,27.525,11012,3.3333,True,True
4686410550940229888,68,log,True,0,7.7902,0.75343,1.7683,0.26131,0.52793,0.052386,0.038297,0.00079459,10870,27.525,11012,3.3333,True,True
4686410550940229888,68,lin,False,0,17.092,0.30088,1.3237,0.29786,0.11797,0.0040611,0.0086906,0.0017811,65879,27.525,11012,3.3333,True,True
4686410550940229888,68,lin,True,0,17.092,0.30088,1.3237,0.29786,0.11797,0.0040611,0.0086906,0.0017811,65879,27.525,11012,3.3333,True,True
4686410688379157888,27,log,False,0,1.16,0.13059,1.6399,0.085027,0.26271,0.033544,0.12839,0.00045348,869,24.354,3350,10,False,True
4686410688379157888,27,log,True,0,1.16,0.13059,1.6399,0.085027,0.26271,0.033544,0.12839,0.00045348,869,24.354,3350,10,False,True
4686410688379157888,27,lin,False,0,1.3131,0.1343,1.7431,0.10097,0.029481,0.0047878,0.04549,0.00045432,8389.6,24.354,3350,10,False,True
4686410688379157888,27,lin,True,0,1.3131,0.1343,1.7431,0.10097,0.029481,0.0047878,0.04549,0.00045432,8389.6,24.354,3350,10,False,True
4686410688379157888,28,log,False,0,1.6677,0.066068,1.2607,0.082853,0.59472,0.029262,0.087724,0.00052412,906.5,25.236,3449,9.9999,False,True
4686410688379157888,28,log,True,0,1.6677,0.066068,1.2607,0.082853,0.59472,0.029262,0.087724,0.00052412,906.5,25.236,3449,9.9999,False,True
4686410688379157888,28,lin,False,0,2.3271,0.043425,1.1288,0.097723,0.1211,0.0039542,0.025133,0.00050032,8522.5,25.236,3449,9.9999,False,True
4686410688379157888,28,lin,True,0,2.3271,0.043425,1.1288,0.097723,0.1211,0.0039542,0.025133,0.00050032,8522.5,25.236,3449,9.9999,False,True
4686410688379157888,68,log,False,0,0.78395,0.32946,1.4375,0.086215,0.10144,0.056283,0.070432,0.00025816,2043,27.525,11206,3.3333,True,True
4686410688379157888,68,log,True,0,0.78395,0.32946,1.4375,0.086215,0.10144,0.056283,0.070432,0.00025816,2043,27.525,11206,3.3333,True,True
4686410688379157888,68,lin,False,0,1.483,0.17092,1.2639,0.10134,0.026687,0.0059948,0.018513,0.0002616,19283,27.525,11206,3.3333,True,True
4686410688379157888,68,lin,True,0,1.483,0.17092,1.2639,0.10134,0.026687,0.0059948,0.018513,0.0002616,19283,27.525,11206,3.3333,True,True
4686410997616777984,27,log,False,0,1.338,0.78539,1.8195,0.27021,0.13073,0.097699,0.12418,0.0016445,1575.4,24.354,3351,10,True,True
4686410997616777984,27,log,True,4,1.8541,0.41348,2.3373,0.27205,0.21756,0.05059,0.20385,0.0013953,1099.8,24.354,3351,10,True,True
4686410997616777984,27,lin,False,0,2.5002,0.40548,1.2073,0.3072,0.082912,0.027644,0.038987,0.0030421,5232.3,24.354,3351,10,True,True
4686410997616777984,27,lin,True,3,2.4878,0.34102,2.238,0.32431,0.045033,0.0090126,0.072193,0.0015649,7343.3,24.354,3351,10,True,True
4686410997616777984,28,log,False,0,1.8738,0.42374,1.2712,0.27153,0.26179,0.09082,0.079406,0.002275,1661.9,25.236,3449,9.9999,True,True
4686410997616777984,28,log,True,3,3.4098,0.15338,1.3859,0.27821,0.72209,0.041926,0.092292,0.0016986,1140.3,25.236,3449,9.9999,True,True
4686410997616777984,28,lin,False,0,3.8473,0.20837,1.0495,0.31015,0.14304,0.016873,0.029082,0.0033212,6386.1,25.236,3449,9.9999,True,True
4686410997616777984,28,lin,True,3,3.5051,0.2458,1.9162,0.33391,0.061764,0.0068172,0.049384,0.0016199,9256.2,25.236,3449,9.9999,True,True
4686410997616777984,68,log,False,0,1.6022,0.87335,1.8078,0.27669,0.13002,0.088107,0.090672,0.00080044,2649.7,27.525,11192,3.3333,True,True
4686410997616777984,68,log,True,2,1.8695,0.52698,1.5611,0.27603,0.19823,0.073642,0.080034,0.00082217,2130.4,27.525,11192,3.3333,True,True
4686410997616777984,68,lin,False,0,1.8645,1.1009,1.9352,0.32692,0.02428,0.023273,0.040791,0.00089751,16005,27.525,11192,3.3333,True,True
