gaia,sector,Tmag,cls,Af,nu_floor,bic_white,cw_white,bic_slf,nu_slf,a0_slf,g_slf,cw_slf,bic_floor,logk_floor,cw_floor,bic_slf+floor,nu_slf+floor,a0_slf+floor,g_slf+floor,logk_slf+floor,cw_slf+floor,dbic_above_floor,dbic_slf_vs_white
4687478138084449536,67,12.6,SLF,6.6567,0.22745,1686.7,0.88603,-2202.4,0.49334,9.3792,2.0816,0.33263,-2188.9,0.26734,0.32699,-2195.2,0.56357,7.9674,2.3583,-0.099498,0.3319,6.2972,3889.1
4687479173187523584,28,11.3,none,9.3034,0.29868,-958.04,0.47732,-4702.5,0.066525,17.114,1.0585,0.15313,-4704.6,-0.10636,0.15907,-4693.2,0.24696,1.7196,0.81986,-0.20692,0.15136,-11.434,3744.4
4687479173187523584,67,11.3,none,17.683,0.24598,-2657.2,0.3325,-5355.7,0.1821,5.5699,1.0913,0.15249,-5351.9,-0.39095,0.15708,-5349.9,3.855,0.30298,7.4637,-0.54683,0.15785,-2.0201,2698.6
4687479173187523584,68,11.3,none,16.847,0.30046,5311.7,2.0273,-354.28,0.42373,22.566,1.1307,0.28102,-358.45,0.33956,0.29744,-347.39,0.62978,13.361,1.1468,0.046821,0.28376,-11.057,5666
4687485387976612736,28,12.4,none,5.1688,0.29868,-2914.1,0.2937,-3346.3,0.18664,3.0726,1.3523,0.25399,-3358.5,-0.39896,0.25364,-3338.8,0.21573,1.4648,6.6025,-0.42632,0.25387,-19.668,432.14
4687485387976612736,67,12.4,none,8.5059,0.20892,4365.7,1.6217,-102.69,0.24598,25.784,1.2338,0.46946,-102.96,0.70547,0.48127,-95.684,0.25415,24.181,1.2301,0.00026379,0.46944,-7.2776,4468.3
4687485387976612736,68,12.4,none,8.4349,0.39049,4788.6,1.7999,205.62,0.30046,25.234,1.189,0.46546,195.92,0.33375,0.45799,211.2,0.8137,6.9967,10,0.31658,0.46137,-15.28,4583
4687485491055825536,27,12.4,SLF,2.4252,0.81815,-969.82,0.4718,-5546.2,0.02,83.085,1.1961,0.12131,-5505.1,0.12764,0.12785,-5536.9,0.02,77.718,1.1853,-0.5585,0.12129,31.804,4576.4
4687485491055825536,28,12.4,SLF,4.5339,0.29271,41.152,0.61171,-6056.8,0.25705,10.78,2.1049,0.12155,-5990.1,0.0091146,0.11742,-6051.4,0.34243,8.2701,2.6503,-0.35251,0.12049,61.332,6097.9
4687485491055825536,67,12.4,SLF,7.9574,0.22745,3371.8,1.2959,-5072.8,0.092789,61.906,1.5757,0.16189,-5020.3,0.17341,0.15676,-5069.9,0.30155,19.238,2.7572,0.035573,0.15987,49.617,8444.6
