metric,prewhitened,qty,gaia,sector,lT,lL,ours,theirs,n_cand,n_pw,nuchar,diff
log,False,nu,4685835884339219456,68,4.2279,5.5500,-0.8691,-0.8062,1,0,0.1352,-0.0629
log,False,nu,4685943254211136000,27,4.2279,5.0200,-0.3944,-0.4907,1,0,0.4032,0.0963
log,False,nu,4685943254211136000,67,4.2279,5.0200,-0.6324,-0.4585,1,0,0.2331,-0.1739
log,False,nu,4685945010910000640,68,4.1761,4.8000,0.0021,-0.6698,1,0,1.0049,0.6719
log,False,nu,4685947553531340800,67,4.5763,6.1100,-0.0060,-0.8501,2,0,0.9863,0.8441
log,False,nu,4685972636146149504,28,4.4281,5.9300,-0.2847,-0.3961,1,0,0.5191,0.1114
log,False,nu,4685972636146149504,67,4.4281,5.9300,-0.3521,-0.4411,1,0,0.4445,0.0890
log,False,nu,4685976621875402368,28,4.1303,4.8700,-0.4477,-0.5052,1,0,0.3567,0.0575
log,False,nu,4685976621875402368,67,4.1303,4.8700,-1.1159,-0.8976,3,0,0.0766,-0.2183
log,False,nu,4685983420730442624,27,4.2480,5.4500,-0.5161,-0.3892,1,0,0.3048,-0.1268
log,False,nu,4685983420730442624,28,4.2480,5.4500,-1.4171,-0.3732,1,0,0.0383,-1.0439
log,False,nu,4685983420730442624,67,4.2480,5.4500,-0.8693,-0.5717,2,0,0.1351,-0.2976
log,False,nu,4685983420730442624,68,4.2480,5.4500,-0.2196,-0.9270,1,0,0.6031,0.7074
log,False,nu,4686413230999834496,27,4.5024,5.1600,-0.3398,-0.5621,1,0,0.4573,0.2223
log,False,nu,4686413437158238208,27,4.4281,5.9800,-0.2674,-0.1491,1,0,0.5403,-0.1183
log,False,nu,4686413437158238208,28,4.4281,5.9800,-0.2796,-0.2034,1,0,0.5253,-0.0762
log,False,nu,4686414467950355072,27,4.4281,5.6100,-0.5301,-0.2590,1,0,0.2951,-0.2711
log,False,nu,4687165125163949952,27,4.3747,5.3400,-0.1345,-0.4230,1,0,0.7337,0.2886
log,False,nu,4687165125163949952,68,4.3747,5.3400,0.0497,-0.6821,1,0,1.1212,0.7318
log,False,nu,4687426087389568768,67,4.2765,4.8100,-0.1262,-0.5149,1,0,0.7478,0.3886
log,False,nu,4687478138084449536,67,4.4281,5.7800,-0.2196,-0.6797,1,0,0.6032,0.4601
log,False,nu,4687485491055825536,27,4.2788,5.4600,-0.5906,-0.3302,1,0,0.2567,-0.2604
log,False,nu,4687485491055825536,28,4.2788,5.4600,-0.8568,-0.7994,1,0,0.1391,-0.0574
log,False,nu,4687501953697501568,27,4.4757,5.2800,-0.2433,-0.3421,1,0,0.5711,0.0988
log,False,nu,4687501953697501568,28,4.4757,5.2800,-0.1642,-0.4482,1,0,0.6851,0.2840
log,False,nu,4687501953697501568,67,4.4757,5.2800,-0.2465,-0.3288,1,0,0.5668,0.0823
log,False,nu,4687501953697501568,68,4.4757,5.2800,-0.2075,-0.6274,1,0,0.6202,0.4199
log,False,nu,4687509749039520768,27,4.4281,5.4100,-0.3277,-0.5848,1,0,0.4702,0.2571
log,False,nu,4687509749039520768,67,4.4281,5.4100,-0.1490,-0.8902,1,0,0.7095,0.7412
log,False,nu,4687509749039520768,68,4.4281,5.4100,-0.1112,-0.7692,1,0,0.7741,0.6580
log,False,nu,4687513910877142528,27,4.5276,5.3900,0.2823,-0.3000,1,0,1.9154,0.5823
log,False,nu,4687513910877142528,28,4.5276,5.3900,0.2433,-0.5595,1,0,1.7510,0.8028
log,False,nu,4687513910877142528,67,4.5276,5.3900,0.0306,-0.4500,1,0,1.0729,0.4806
log,False,nu,4687513910877142528,68,4.5276,5.3900,0.0936,-0.6670,1,0,1.2405,0.7606
log,False,nu,4688978838366817280,27,4.4757,5.9000,-0.1406,-0.3057,1,0,0.7234,0.1651
log,False,nu,4688978838366817280,68,4.4757,5.9000,0.0528,-0.6319,1,0,1.1294,0.6847
log,False,nu,4688980414561766016,27,4.1038,4.8600,-0.2142,-0.6579,1,0,0.6106,0.4437
log,False,nu,4689003027613801216,67,4.3747,5.6500,-0.4322,-0.3706,1,0,0.3696,-0.0616
log,False,nu,4689003027613801216,68,4.3747,5.6500,-0.5322,-0.4651,1,0,0.2937,-0.0671
log,False,nu,4689037181200454656,67,4.2742,4.8700,-0.6024,-0.6380,1,0,0.2498,0.0356
log,False,nu,4689037181200454656,68,4.2742,4.8700,-0.4442,-0.5936,1,0,0.3596,0.1494
log,False,nu,4689054670286883968,28,4.1271,4.8500,-0.4022,-0.6698,1,0,0.3961,0.2676
log,False,nu,4689054945164735616,28,4.3747,5.5400,-0.5132,-0.2973,1,0,0.3068,-0.2159
log,False,nu,4689054945164735616,67,4.3747,5.5400,-0.4307,-0.2614,1,0,0.3709,-0.1693
log,False,nu,4689062298150064640,27,4.4281,5.2800,0.0249,-0.3632,1,0,1.0589,0.3881
log,False,nu,4689062298150064640,28,4.4281,5.2800,0.1027,-0.2403,1,0,1.2667,0.3430
log,False,nu,4690506712804881792,67,4.3747,4.8700,-0.5098,-0.5398,1,0,0.3092,0.0300
log,False,nu,4690507881037706112,28,4.1303,4.7700,0.0700,-0.5050,1,0,1.1748,0.5750
log,False,nu,4690507881037706112,67,4.1303,4.7700,0.0414,-0.6381,1,0,1.0999,0.6795
log,False,nu,4690516677131714432,28,4.5527,6.1200,-0.2125,-0.1643,1,0,0.6130,-0.0482
log,False,nu,4690516677131714432,67,4.5527,6.1200,-0.3879,-0.4623,1,0,0.4093,0.0744
log,False,nu,4690516677131714432,68,4.5527,6.1200,-0.4397,-0.6368,1,0,0.3634,0.1971
log,False,nu,4690520387983090432,67,4.3483,5.5500,-0.6146,-0.5978,2,0,0.2429,-0.0168
log,False,nu,4690520387983090432,68,4.3483,5.5500,-0.7344,-0.4811,1,0,0.1844,-0.2533
log,False,a,4685835884339219456,68,4.2279,5.5500,2.2171,2.0387,1,0,0.1352,0.1784
log,False,a,4685945010910000640,68,4.1761,4.8000,1.0357,1.4150,1,0,1.0049,-0.3793
log,False,a,4685947553531340800,28,4.5763,6.1100,0.8549,1.2846,1,0,1.2697,-0.4297
log,False,a,4685976621875402368,28,4.1303,4.8700,1.3322,1.2023,1,0,0.3567,0.1299
log,False,a,4685976621875402368,67,4.1303,4.8700,1.5443,1.3730,1,0,0.0766,0.1713
