gaia,sector,Tmag,cls,Af,nu_floor,bic_white,cw_white,bic_slf,nu_slf,a0_slf,g_slf,cw_slf,bic_floor,logk_floor,cw_floor,bic_slf+floor,nu_slf+floor,a0_slf+floor,g_slf+floor,logk_slf+floor,cw_slf+floor,dbic_above_floor,dbic_slf_vs_white,id,lT,lL,logR_exp
4689054945164735616,68,12.8,SLF,7.507,0.3455,2930,1.179,-1098,0.1158,28.95,1.029,0.3516,-1109,0.2566,0.3608,-1091,0.1433,1.181,0.3028,0.2313,0.2964,-17.66,4028,GAIA DR3 4689054945164735616,4.375,4.16,0.1787
4689062298150064640,27,13.8,binary/rot,1.241,0.8182,-3399,0.2526,-6114,1.218,1.455,5.6,0.1144,-6118,0.244,0.1115,-6127,1.152,1.277,10,0.001462,0.1128,8.662,2715,GAIA DR3 4689062298150064640,4.428,3.973,0.0867
4689062298150064640,28,13.8,binary/rot,2.19,0.2927,-3052,0.2838,-5376,0.9576,1.887,1.774,0.1377,-5377,0.3903,0.1367,-5372,2.064,0.7458,2.807,0.1431,0.1381,-4.812,2324,GAIA DR3 4689062298150064640,4.428,3.973,-0.1835
4689062298150064640,67,13.8,binary/rot,4.241,0.2275,-2277,0.3623,-5509,0.1572,7.053,1.119,0.1462,-5514,0.2429,0.1495,-5511,3.601,0.3152,10,0.11,0.1507,-3.132,3231,GAIA DR3 4689062298150064640,4.428,3.973,-0.4285
4689062298150064640,68,13.8,binary/rot,3.675,0.3455,-3297,0.2861,-6574,1.077,1.943,2.449,0.1184,-6510,-0.05273,0.1117,-6615,1.179,1.528,10,-0.297,0.1159,104.9,3278,GAIA DR3 4689062298150064640,4.428,3.973,-0.4325
4689074598938187776,27,14.3,none,0.4849,0.8182,-6176,0.1236,-6275,0.02,1.341,0.5504,0.1112,-6262,-0.1756,0.1181,-6268,5.177,0.1026,10,-0.2828,0.1144,5.803,98.51,GAIA DR3 4689074598938187776,4.528,3.811,-0.6662
4689074598938187776,28,14.3,none,0.8771,0.2867,-6755,0.1132,-7605,1.175,0.4618,8.749,0.08685,-7570,0.2585,0.08516,-7597,1.169,0.446,9.821,-0.3503,0.08667,26.61,850,GAIA DR3 4689074598938187776,4.528,3.811,-0.9364
4690502280398443776,28,13.9,none,3.044,0.2987,-2036,0.3652,-2916,0.159,5.154,1.151,0.2743,-2928,0.07955,0.2762,-2910,3.74,0.1827,10,0.04042,0.275,-18.16,879.8,GAIA DR3 4690502280398443776,4.375,3.76,-0.2304
4690503826587160832,28,12.3,SLF,5.772,0.2927,2712,1.187,-4556,0.2183,26.33,1.834,0.1668,-4499,0.2367,0.1584,-4564,0.5137,11.87,3.573,0.01616,0.1638,64.57,7269,GAIA DR3 4690503826587160832,4.377,4.207,0.5318
4690503826587160832,67,12.3,SLF,9.818,0.2275,1875,0.9244,-3408,0.1005,30.61,1.171,0.2172,-3417,0.2612,0.2225,-3408,8.446,0.215,10,0.2098,0.221,-9.436,5283,GAIA DR3 4690503826587160832,4.377,4.207,0.2868
4690503826587160832,68,12.3,SLF,10.63,0.3455,3260,1.271,-4071,0.03706,125.5,1.246,0.1824,-4005,-0.09411,0.1734,-4073,0.4575,13.18,4.059,-0.1883,0.1792,68.38,7331,GAIA DR3 4690503826587160832,4.377,4.207,0.2828
4690506712804881792,67,14.3,binary/rot,0.9934,0.2275,-4506,0.2191,-9057,0.02,39.36,1.214,0.06789,-9062,0.4874,0.06798,-9065,0.3421,2.438,10,0.4178,0.06861,2.404,4551,GAIA DR3 4690506712804881792,4.375,3.59,-0.7487
4690506712804881792,68,14.3,binary/rot,1.219,0.3455,-1600,0.4208,-5132,0.1199,11.75,1.243,0.1641,-5121,0.4618,0.1609,-5137,0.3334,4.48,10,0.3905,0.1627,16.28,3532,GAIA DR3 4690506712804881792,4.375,3.59,-0.7527
4690516677131714432,28,11.2,SLF,3.234,0.2927,281.6,0.6493,-5222,0.512,7.353,2.119,0.1425,-5181,0.3553,0.1375,-5221,0.7335,5.164,3.278,0.121,0.1408,39.64,5504,GAIA DR3 4690516677131714432,4.553,4.102,-0.3615
4690516677131714432,67,11.2,SLF,5.693,0.2275,2224,1,-3812,0.1961,19.97,1.276,0.1929,-3823,0.528,0.195,-3804,0.1929,19.13,1.269,0.003688,0.1929,-18.73,6035,GAIA DR3 4690516677131714432,4.553,4.102,-0.6065
4690516677131714432,68,11.2,SLF,5.704,0.3455,1575,0.8665,-4176,0.159,21.13,1.264,0.1799,-4161,0.1257,0.1729,-4176,0.6001,6.918,2.929,0.05194,0.1774,14.47,5751,GAIA DR3 4690516677131714432,4.553,4.102,-0.6105
