sector,qty,side,y,x,area,n_merged
68,a,L,2.0206,6.1210,825.0000,1
68,a,L,1.8675,4.7905,825.0000,1
68,a,L,1.8592,5.5518,825.0000,1
68,a,L,1.7610,5.5053,598.0000,1
68,a,L,1.7329,5.6519,811.0000,1
68,a,L,1.7263,5.4110,792.0000,1
68,a,L,1.6810,5.2809,771.0000,1
68,a,L,1.6843,5.9007,573.0000,1
68,a,L,1.6435,4.7104,825.0000,1
68,a,L,1.5906,5.3426,640.0000,1
68,a,L,1.4575,5.2613,825.0000,1
68,a,L,1.4154,4.8003,796.0000,1
68,a,L,1.4116,4.4096,813.0000,1
68,a,L,1.4064,4.3397,825.0000,1
68,a,L,1.2994,5.3915,825.0000,1
68,a,L,1.2726,4.8706,804.0000,1
