483 tables in 370 catalogs
I/221/lmc                    (1) [Magellanic Cloud] The Large Magellanic Cloud ( Tucholke H.-J., de Boer K.S., Seitter W.C.)
J/AJ/140/416                 (2) [massive stars] Catalog of spectral types for 5324 SMC massive stars ( Bonanos A.Z., Lennon D.J., Kohlinger F., et al.)
J/AJ/149/154                 (1) [Magellanic Cloud] Small Magellanic Cloud (SMC) clusters sample ( Parisi M.C., Geisler D., Claria J.J., Villanova S., Marcionni N
J/AJ/152/58                  (1) [Magellanic Cloud] Small Magellanic Cloud (SMC) field results ( Parisi M.C., Geisler D., Carraro G., Claria J.J., Villanova S., G
J/AJ/153/16                  (1) [OB stars] Reddening derived using sedFit for 21 OB stars in the Cep OB3 cloud ( Swihart S.J., Garcia E.V., Stassun K.G.,
J/AJ/154/102                 (3) [B supergiant,VFTS] LMC VFTS OB supergiants results (tables 4 and 9) ( Urbaneja M.A., Kudritzki R.-P., Gieren W., Pietrzynski G., 
J/AJ/154/87                  (1) [OB stars] Chandra X-ray properties of OB stars ( Kuhn M.A., Medina N., Getman K.V., Feigelson E.D., Gromadzki M., Boriss
J/AJ/155/190                 (1) [O-type stars] Radial velocity measurements of B-type (table 3) and O-type stars (table 4) ( Hanes R.J., McSwain M.V., Povich
J/AJ/155/39                  (1) [TESS] Variability Upper Limits for Non-Variable Sources in the TESS Input Catalog ( Oelkers R.J., Rodriguez J.E., St
J/AJ/157/113                 (1) [TESS] Mock full systems in which TESS detected at least one transiting planet ( Ballard S.)
J/AJ/157/176                 (1) [OB stars] *X-ray detected OB stars ( Binder B.A., Behr P., Povich M.S.)
J/AJ/157/191                 (1) [TESS] TESS 30-minute cadence light curve of TOI-172 ( Rodriguez J.E., Quinn S.N., Huang C.X., et al.)
J/AJ/157/235                 (1) [TESS] KOI-142's planetary parameters using all of the Kepler data available to the public as well as a theoretical T
J/AJ/157/242                 (1) [TESS] Planets in the NASA Exoplanet Archive that have been detected by TESS, all of which are found to be suitable f
J/AJ/158/45                  (1) [TESS] 30 minutes cadence TESS light curve data for HD 1397 obtained from the tesseract extraction of the full-frame 
J/AJ/159/19                  (3) [TESS] Nearby stars detected by SOAR to TESS planet candidate hosts ( Ziegler C., Tokovinin A., Briceno C., Mang J., 
